DEG	avg_log2FC
STAT1	1.133263734
XBP1	0.801192879
PRDM1	0.721943933
ZNF804A	0.656693621
SP110	0.599877542
ESR1	0.585240355
SOX5	0.53766587
TSHZ2	0.535511763
NCOA3	0.519602304
FOS	0.504293409
SETBP1	0.503382906
IRF4	0.485442738
ETV6	0.463384859
CREB3L2	0.447875544
KDM2A	0.415814637
ZBTB38	0.413047619
LCORL	0.407361197
FLI1	0.380679859
STAT2	0.379887116
TCF4	0.348271932
POU2AF1	0.346033174
ZNF609	0.344222974
SCML4	0.336418932
MBNL2	0.335111557
IKZF1	0.334274104
IKZF3	0.321182236
SMYD3	0.318497216
FOXN3	0.31732096
PHF21A	0.316545179
FOXN2	0.312047886
KLF12	0.311128664
SP100	0.29642549
HMBOX1	0.294346054
NFATC3	0.293109228
ASH1L	0.288809007
ZBTB20	0.287710991
ZEB2	0.286431519
TCF12	0.283513017
NFAT5	0.283452527
POU2F2	0.278670389
BCL11A	0.277285302
ARID3A	0.271117055
BPTF	0.266246017
ARID3B	0.265894435
NCOA2	0.263574922
RFX7	0.259140108
ZNF207	0.257851818
SP140	0.256191616
ZNF652	0.255899318
ZBTB10	-0.251430355
NR3C2	-0.254553608
CEBPZ	-0.265465312
MYC	-0.295625408
HHEX	-0.29811884
SKIL	-0.304314801
SON	-0.39083747
IRF8	-0.419118633
JUND	-0.520381684
JUN	-0.77552416
JUNB	-0.794102643
KLF2	-1.031171687
