DEG	avg_log2FC
IGHA1	3.295152173
IGHA2	2.351572219
JCHAIN	2.087482337
IFI44L	1.979170009
FNDC3B	1.719417954
XAF1	1.562984028
MAN1A1	1.419901458
TXNDC5	1.362298183
IGHG1	1.338634665
EPSTI1	1.192971659
PPBP	1.158857483
MYO1D	1.14177766
STAT1	1.133263734
SAMD9L	1.090382938
HSP90B1	1.007014559
IFI44	0.982091908
SPATS2	0.952404173
GLCCI1	0.945524467
TXNDC11	0.936331598
CCSER1	0.93521109
MACROD2	0.908440741
MX1	0.901722058
DDX60L	0.892382025
AL589693.1	0.887374597
ISG15	0.886528503
FUT8	0.866524552
MX2	0.862319326
RNF213	0.834088367
CEP128	0.826370262
FCRL5	0.801673769
XBP1	0.801192879
ELL2	0.775811834
MZB1	0.775750118
EIF2AK2	0.765128639
IQGAP2	0.744382211
SND1	0.736506401
IGHG3	0.73132761
DENND1B	0.729410249
PRDM1	0.721943933
DDX60	0.706692314
SLC44A1	0.699811765
RBM47	0.690925968
FBXW7	0.686252742
JAK2	0.685291832
HERC5	0.680447587
SEC24D	0.678164343
KCNQ5	0.67554602
ERC1	0.670737233
HERC6	0.667517225
AL355076.2	0.66142695
ZNF804A	0.656693621
PARP9	0.641001603
CD38	0.639231099
INPP4A	0.638686401
SNTB1	0.630956909
CSGALNACT1	0.629710191
TYMP	0.621648511
GMDS	0.619688323
GAB1	0.619628544
RASGRP3	0.613673231
SLC15A2	0.61260247
HSH2D	0.607821128
SP110	0.599877542
NEAT1	0.591417723
UBE2J1	0.586376226
GMDS-DT	0.586136898
ESR1	0.585240355
ZBP1	0.582409834
EAF2	0.57777311
FNDC3A	0.577407669
SEL1L3	0.576949466
DENND5B	0.571614097
DNAJC1	0.571408853
HIPK2	0.56981724
SOS1	0.568994702
PITPNC1	0.568242381
WDFY1	0.566111974
SCLT1	0.555185669
SSPN	0.546834503
UBE2G1	0.544739296
SOX5	0.53766587
WWOX	0.537233887
ARHGEF3	0.537162047
TSHZ2	0.535511763
ITGA4	0.533713809
LMAN1	0.531107175
PVT1	0.531027913
FHIT	0.529974113
