"","seqnames","idx","start","end","Log2FC","FDR","MeanDiff"
"288389","chr2",42589,226799054,226799554,-3.58496250072116,6.53450410683422e-18,-0.0440881763527054
"411502","chr6",3574,15248537,15249037,-1.40599235967584,4.89662562276346e-15,-0.132264529058116
"35844","chr1",35844,157566579,157567079,-2.02553509210714,2.53670296393016e-14,-0.0861723446893788
"330171","chr3",8356,43894256,43894756,-3.39231742277876,2.53670296393016e-14,-0.0380761523046092
"343317","chr3",21502,125916335,125916835,-1.37550913509221,7.2342472133839e-13,-0.118236472945892
"147840","chr14",5362,56118056,56118556,-1.42033179894836,7.26734452163935e-13,-0.114228456913828
"202910","chr17",10171,40480326,40480826,-2,1.17126226407818e-12,-0.0781563126252505
"191965","chr16",17081,88854456,88854956,-2.8073549220576,1.94946724571855e-12,-0.0480961923847695
"411328","chr6",3400,14729465,14729965,-3,2.44063728890785e-12,-0.0420841683366733
"287177","chr2",41377,219387696,219388196,-1.02137365079257,1.45218676262887e-11,-0.138276553106212
"294171","chr20",1254,4037955,4038455,-1.8073549220576,1.75612293141195e-11,-0.0801603206412826
"301888","chr20",8971,47727496,47727996,-1.27798474729977,1.75612293141195e-11,-0.114228456913828
"86537","chr11",6398,35059019,35059519,-2.93859945533586,2.03255584718117e-11,-0.0400801603206413
"309927","chr21",3939,42062544,42063044,-1.35548065459839,2.71854566915928e-11,-0.106212424849699
"284162","chr2",38362,203328613,203329113,-3.16992500144231,4.03196967463932e-11,-0.032064128256513
"300003","chr20",7086,38961991,38962491,-1.02236781302845,5.08961445259195e-11,-0.132264529058116
"75597","chr10",19196,110225659,110226159,-1.22741049610307,1.50749232505272e-10,-0.110220440881764
"149076","chr14",6598,63747817,63748317,-2.87446911791614,1.59741698961442e-10,-0.0380761523046092
"414441","chr6",6513,29628807,29629307,-2.87446911791614,1.59741698961442e-10,-0.0380761523046092
"120399","chr12",15213,89709356,89709856,-0.860837252328374,2.25565109382739e-10,-0.142284569138277
